,,,Season Price & Arrival Report (2022-23),,,
,,,Kharif Marketing Season Marketing Season 01 Oct - 30 Sep ,,Rabi Marketing Season Marketing Season 01 Apr - 31 Mar ,
Commodity Group,Commodity,MSP (Rs./Quintal) 2022-23,Kharif Marketing Season Price (Rs./Quintal),Kharif Marketing Season Arrival (Metric Tonnes),Rabi Marketing Season Price (Rs./Quintal),Rabi Marketing Season Arrival (Metric Tonnes)
Cereals,Maize,1962.00,1872.96,82847.59,-,-
Cereals,Paddy(Common),2040.00,695.89,338147.32,-,-
Fibre Crops,Cotton,6080.00,7255.54,65210.40,-,-
Oil Seeds,Groundnut,5850.00,6789.00,3948.78,-,-
Oil Seeds,Mustard,5050.00,-,-,5125.92,1.00
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",7830.00,13071.61,51.17,-,-
Oil Seeds,Soyabean,4300.00,4607.66,1.75,-,-
Oil Seeds,Sunflower/Sunflower Seed,6400.00,4217.41,94.19,-,-
Pulses,Arhar(Tur/Red Gram)(Whole),6600.00,5991.63,2771.95,-,-
Pulses,Bengal Gram(Gram)(Whole),5230.00,-,-,4290.23,67.63
Pulses,Black Gram(Urd Beans)(Whole),6600.00,-,-,2690.19,1671.16
Pulses,Green Gram(Moong)(Whole),7755.00,-,-,6071.74,897.86

